Accreditation (taught programmes),"A number?of our programmes have external accreditation.
Schools are required to declare which of their programmes are accredited by professional, statutory and regulatory bodies (PSRBs), what the accreditation or inspection arrangements are and inform the QA Team of amendments. The QA Team maintain an accurate database of all accreditations?across the institution.
Schools are required to provide the reports and any action plans arising from accreditation visits to enable the QA Functional lead?to upload the documents to a central repository.?Reports from the PSRBs are considered through academic review processes.
The QA Team review accreditation reports and produce an annual report to the Taught Student Education Board (TSEB) outlining the institutional status of PSRB and accreditations, and highlighting any issues of institutional significance.
More details can be found in the?Policy on?PSRBs and?Accreditation.
"
Attendance code of practice (taught students),"Students are expected to attend all timetabled sessions. The University is clear about its expectations of students and in the information that schools provide to students to enable them to attend regularly.
University code of practice
The sessions organised as part of a programme of study - lectures, group work, laboratory work, tutorials, seminars and practical classes - are a crucial part of enabling students to achieve the maximum benefit from their time at the University.

Attendance at designated online and remote sessions is compulsory irrespective of whether or not a module forms a core, optional or elective part of a programme of study.
Schools will have procedures for students to report absence / monitor engagement?and make clear the procedures for students to apply for leave of absence in exceptional circumstances.
Schools will have a clear process for monitoring?student engagement?and addressing any patterns of non-attendance or low attendance?at an early stage. Where non-attendance is a potential problem a ""warning system"" will be in place for the student. If the problem continues the Unsatisfactory Work, Attendance and Engagement Procedure will be used.
Co-curricular activities and paid employment must normally be fitted around formal timetable commitments. Wednesday afternoons, that is from 1.00pm, will normally be kept free for co-curricular activities. On occasions where a student is involved in a University supported activity, eg competing in a national sporting event or representing the University in a sporting event, which involves leaving a timetabled session before 1.00pm they must notify the tutor in advance in order to discuss how the session commitments might be met in another way. It is the responsibility of the student to find out what work has been missed and to complete any tasks set.
Schools will indicate normal teaching hours making special arrangements to meet the needs of students undertaking religious observance.
Schools will make clear the preparation students are expected to undertake before each timetabled session and whether supporting material is needed for use in class.
Sessions will start promptly at five minutes past the hour and end promptly at five minutes to the hour, unless otherwise agreed with students for a particular session/module.?
Timetabled sessions will only be cancelled in exceptional and unavoidable circumstances, eg staff illness, and alternative arrangements made to minimise disruption for students.?
Staff will all be made aware of the school policy on non-engagement to prevent variability in the treatment of students.
The school policy on?engagement will be considered annually by the Student:Staff committee.
The Dean of Faculty is responsible for ensuring compliance by schools with this code of practice.

?
?
"
Audio and visual in student education,"This policy relates to recording of activities with an educational purpose by the University, its students or others.
The document also includes the Sensitive data consent form and recording notice template.
The Policy on audio or video recording for educational purposes?and further guidance for heads of schools are available from the Secretariat?website."
Blended learning strategy,"Refreshed strategy to reflect advances which are transforming the tools available for blended learning, including MOOCs, lecture capture and multimedia management capabilities, social media, Open Educational Resources and mobile devices.
The strategy?document also includes templates for school and faculty blended learning strategy action plans and an outline of the blended learning academic champion role."
Committees of the University,"The Secretariat (via its Governance Support and Corporate Affairs teams) is responsible for servicing several of the University's key governing and operational committees.
Find out more about the committees on the Secretariat website.
Committees of the University?
Council?

Animal Welfare and Ethical Review CommitteeAudit and RiskEquality and InclusionGift Acceptance CommitteeGrievance CommitteeHealth and SafetyNominating and Governance CommitteeRemunerationStrategy and InvestmentStudent DisciplineStudent Health and ConductUniversity Research Ethics Committee
 
Committees of the SenateSenate ApplicationsGraduate BoardResearch and Innovation BoardTaught Student Education BoardTaught Student Recruitment CommitteeUniversity Special Cases Committee 
 
 
Committees of the CourtCourt Honorary Degrees
?
 Executive CommitteeUniversity Executive Group
 
Other CommitteesEmployment Security Review Group
 
Professorial and Higher Academic-Related Staff Salaries 
"
Data protection,"The University needs to process certain information about its employees, students and other individuals. In so doing, the University must comply with the General Data Protection Regulation 2018.
The University code of practice on data protection, owned by the Secretariat, explains the University's approach to compliance with data protection law, how data can be accessed and the obligations on staff and students who come into contact with personal data. The University data protection website provides current advice and guidance.
The University Retention Schedule?(PDF), provides guidance for staff on how long different types of records should be kept for.
The request form for access to personal data (PDF) can be used by individuals who wish to access the data the University holds about them Any request for access to data, or in relation to individual rights regarding personal data, should be forwarded to Rebecca Messenger-Clark in the Secretariat at r.messenger-clark@adm.leeds.ac.uk.?
 "
Distance learning (taught students),"There are some additional considerations for distance learning provision during both programme approval and ongoing review stages. These are described in this policy.
Flexible and distributed learning refers to educational provision, leading to credit or an award of the University, that is delivered, supported and assessed without a student having to be physically located within the University (or other designated locations of study). ?
The University policy (PDF) outlines the additional considerations applying to this range of educational provision.?"
Engagement monitoring (attendance),"This document includes policy, guidance and examples of good practice in relation to attendance monitoring by staff in schools.
The guidance included in the?policy document (PDF)?relates to all cohorts of students and also explains the requirements of UK Visas and Immigration for monitoring international students under the Points Based System.
"
Equality and inclusion,"Inclusiveness is one of the core University values. This framework explains how we will incorporate inclusiveness throughout our cultures, business and day-to-day organisational practice.
The equality and inclusion framework, on the Equality Policy Unit website, provides information about how equality and inclusiveness are integral to our culture."
Joint honours definition (taught students),"A joint honours programme is an interdisciplinary programme where students combine two different subjects in approximately equal proportions in line with the University definition of joint honours.
Find out more about the?Definition of joint honours (PDF).
 "
Open Educational Resources (taught students),"This document sets out the University＊s position and guidance on the use and publication of Open Educational Resources within educational situations at the University.

The University encourages staff and students to use, create and publish Open Educational Resources (OERs) so long as they are consistent with the University's reputation and values.?
Guidance on creating and publishing OERs is provided in the Open Educational Resources document.?
-?
 
"
Ordinances,"Ordinances define the qualifications the University awards and the associated regulations. They form part of the University Constitution.
The full set of ordinances is held on the Secretariat website. Those which are particularly relevant to the Student Education Service are:

Ordinance X (research degrees)
Ordinance IX (first degrees and undergraduate awards)
Ordinance XI (taught postgraduate awards)
Ordinance XI (higher doctorates)

Programmes of study for research degree awards?
To qualify for an award, each candidate must meet the required learning outcomes for their registered programme of study.
Each programme of study below sets out the learning outcomes, transferable key skills, learning context and assessment information for all research degree programmes:?
Doctoral Degrees

Doctor of Philosophy (PhD)
Doctor of Medicine (MD)
Doctor of Paediatric Dentistry (DPaedDent)
Doctor of Clinical Dentistry (DClinDent)
Doctor of Education (EdD)?
Doctor of Clinical Psychology (DClinPsychol)
Doctor of Clinical Education (DClinEdD)

Master by Research

Master by Research

Master of Philosophy

Master of Philosophy (MPhil)

Integrated degrees of PhD and Master

Integrated degrees of PhD and Master (General)
Integrated degree of PhD and MSc in Oral Science (Paediatric Dentistry)
Integrated degree of PhD and MSc (Medical and Biological Engineering)
Integrated degree of PhD and MSc (Advanced Particulate Materials)
Integrated degree of PhD and MSc (Bioenergy)
Integrated degree of PhD and MSc (Fluid Dynamics)
Integrated degree of PhD and MSc (Tissue Engineering and Regenerative Medicine - Innovation in Medical and Biological Engineering)
Integrated degree of PhD and MSc (Complex Particulate Products and Processes)
Integrated degree of PhD and MSc (Data Analytics and Society)
Integrated degree of PhD and MSc (Artificial Intelligence for Medical Diagnosis and Care)

4 Year PhDs

4 year PhD - Integrated Tribology
4 year PhD - Next Generation Nuclear 
4 year PhD - Physics Studies
4 year PhD - Soft Matter and Functional Interfaces
4 year PhD - Soft Matter for Formulation and Industrial Innovation (SOFI2)
4 year PhD - Anatomy
4 year PhD - Cardiovascular Disease and Diabetes
4 year PhD - Cardiovascular and Metabolic Disease
4 Year PhD - Aerosol Science
4 Year PhD - Medicine, Health and Human Disease 
4 Year PhD - Molecules to Product
4 Year PhD - Nuclear Energy - GREEN (Growing skills for Reliable Economic Energy from Nuclear)?
4 Year PhD - WISER (Water and Waste Infrastructure and Services Engineered for Resilience)
4 Year PhD 每 CDT SENSE : Satellite Data in Environmental Science

Dual Award PhDs

Leeds University 每 University of Copenhagen (2020-2023 only: this programme is no longer recruiting)
Leeds University 每 University of Coimbra (2020-2023 only: this programme is no longer recruiting)
Leeds University 每 University of Ljubljana (2020-2023 only: this programme is no longer recruiting)
Leeds University 每 Lulea Technical University (2020-2024 only: this programme is no longer recruiting)
Leeds University 每 Nanjing University
Leeds University 每 Beijing Jiaotong University
Leeds University 每 Petroleum University of China (QingDao Campus) (UPC)
Leeds University 每 Southwest Jiaotong University (SWJTU)

?
Ordinance and Regulations are reviewed annually. For previous versions please visit Postgraduate researcher guidance
"
